fic,date,country,currency,mportret,mportretx
AUS,2005-11-30,AUSTRALIA,AUD,0.03795396649264582,0.03085390068077598
AUS,2005-12-30,AUSTRALIA,AUD,0.02771475603040097,0.02508917656357967
AUS,2006-01-31,AUSTRALIA,AUD,0.03607559135079907,0.03602334279751562
AUS,2006-02-28,AUSTRALIA,AUD,0.009361227545280348,0.001226286599166126
AUS,2006-03-31,AUSTRALIA,AUD,0.04307266637720208,0.03794928081540627
AUS,2006-04-28,AUSTRALIA,AUD,0.0276009832607258,0.02711300991731291
AUS,2006-05-31,AUSTRALIA,AUD,-0.04372427428484782,-0.04627555632564007
AUS,2006-06-30,AUSTRALIA,AUD,0.01805267809585698,0.01234014400597938
AUS,2006-07-31,AUSTRALIA,AUD,-0.0122670180431379,-0.01368196521203147
AUS,2006-08-31,AUSTRALIA,AUD,0.03322499646033994,0.02537751272271493
AUS,2006-09-29,AUSTRALIA,AUD,0.01336921740549157,0.007522050929468449
AUS,2006-10-31,AUSTRALIA,AUD,0.04550999561523073,0.04343122794154208
AUS,2006-11-30,AUSTRALIA,AUD,0.02453624914555053,0.01993222062556033
AUS,2006-12-29,AUSTRALIA,AUD,0.03797517233451497,0.03565489681025036
AUS,2007-01-31,AUSTRALIA,AUD,0.01917954821687107,0.01909408802463486
AUS,2007-02-28,AUSTRALIA,AUD,0.0173115681518532,0.01079495166609834
AUS,2007-03-30,AUSTRALIA,AUD,0.03472132575551901,0.02944035745427032
AUS,2007-04-30,AUSTRALIA,AUD,0.03041024196020792,0.02995876579273604
AUS,2007-05-31,AUSTRALIA,AUD,0.02900613053649459,0.02616225650553861
AUS,2007-06-29,AUSTRALIA,AUD,0.000746153884241485,-0.007796735932751653
AUS,2007-07-31,AUSTRALIA,AUD,-0.01753551696743771,-0.01770813686987616
AUS,2007-08-31,AUSTRALIA,AUD,0.01284458626317697,0.005377195140691571
AUS,2007-09-28,AUSTRALIA,AUD,0.05433084017319634,0.04986404445611448
AUS,2007-10-31,AUSTRALIA,AUD,0.03305202597247114,0.03212964940878837
AUS,2007-11-30,AUSTRALIA,AUD,-0.03602088185919505,-0.03987951620383179
AUS,2007-12-31,AUSTRALIA,AUD,-0.02099033169029985,-0.02994463121475677
AUS,2008-01-31,AUSTRALIA,AUD,-0.113562337335932,-0.1142256959510924
AUS,2008-02-29,AUSTRALIA,AUD,-0.002620175161792027,-0.009007454463369924
AUS,2008-03-31,AUSTRALIA,AUD,-0.04057157050503946,-0.04666850157254177
AUS,2008-04-30,AUSTRALIA,AUD,0.04836209475252828,0.04743024983721988
AUS,2008-05-30,AUSTRALIA,AUD,0.02682355407145676,0.02286820002365908
AUS,2008-06-30,AUSTRALIA,AUD,-0.07644174227633715,-0.07952744030142955
AUS,2008-07-31,AUSTRALIA,AUD,-0.05166776177535415,-0.05212828421349314
AUS,2008-08-29,AUSTRALIA,AUD,0.04212055588191488,0.03303616368982842
AUS,2008-09-30,AUSTRALIA,AUD,-0.09528051767834333,-0.1009759134373066
AUS,2008-10-31,AUSTRALIA,AUD,-0.1421209537595365,-0.1431139524817119
AUS,2008-11-28,AUSTRALIA,AUD,-0.06273984775030139,-0.06962999206545517
AUS,2008-12-31,AUSTRALIA,AUD,0.003887003245039322,0.001090210598844843
AUS,2009-01-30,AUSTRALIA,AUD,-0.05036504190345381,-0.05045895529467259
AUS,2009-02-27,AUSTRALIA,AUD,-0.04897607177132746,-0.05881934980845638
AUS,2009-03-31,AUSTRALIA,AUD,0.07866129825697499,0.06872788918459016
AUS,2009-04-30,AUSTRALIA,AUD,0.06091857476966278,0.06034110763991141
AUS,2009-05-29,AUSTRALIA,AUD,0.01801383754785002,0.01525091766454323
AUS,2009-06-30,AUSTRALIA,AUD,0.04141739872283878,0.03745809450181126
AUS,2009-07-31,AUSTRALIA,AUD,0.07624401299159023,0.0758436809165397
AUS,2009-08-31,AUSTRALIA,AUD,0.06902061405232973,0.05897084396124486
AUS,2009-09-30,AUSTRALIA,AUD,0.06270315392162495,0.05854911336892976
AUS,2009-10-30,AUSTRALIA,AUD,-0.02126556854149553,-0.02237816073027754
AUS,2009-11-30,AUSTRALIA,AUD,0.01635289822037489,0.01153724523642063
AUS,2009-12-31,AUSTRALIA,AUD,0.03537620023810439,0.0339973660425299
AUS,2010-01-29,AUSTRALIA,AUD,-0.05454771144383241,-0.05499281886206631
AUS,2010-02-26,AUSTRALIA,AUD,0.01707408257968535,0.01025965302707799
AUS,2010-03-31,AUSTRALIA,AUD,0.05500679466866942,0.04861002126730685
AUS,2010-04-30,AUSTRALIA,AUD,-0.01177128999046939,-0.01210155935533097
AUS,2010-05-31,AUSTRALIA,AUD,-0.07800977519126384,-0.08113897233090561
AUS,2010-06-30,AUSTRALIA,AUD,-0.02721099690146866,-0.03001900178897432
